# r          g(r)
2.161250e+00 9.751588e-01
2.178750e+00 9.651731e-01
2.196250e+00 9.544386e-01
2.213750e+00 9.454113e-01
2.231250e+00 9.440814e-01
2.248750e+00 9.362307e-01
2.266250e+00 9.338823e-01
2.283750e+00 9.319155e-01
2.301250e+00 9.295157e-01
2.318750e+00 9.269880e-01
2.336250e+00 9.309146e-01
2.353750e+00 9.340724e-01
2.371250e+00 9.387975e-01
2.388750e+00 9.399056e-01
2.406250e+00 9.470353e-01
2.423750e+00 9.476942e-01
2.441250e+00 9.562756e-01
2.458750e+00 9.615177e-01
2.476250e+00 9.652377e-01
2.493750e+00 9.755101e-01
2.511250e+00 9.804496e-01
2.528750e+00 9.908425e-01
2.546250e+00 9.920050e-01
2.563750e+00 1.000246e+00
2.581250e+00 1.005341e+00
2.598750e+00 1.009769e+00
2.616250e+00 1.015180e+00
2.633750e+00 1.017800e+00
2.651250e+00 1.026281e+00
2.668750e+00 1.028772e+00
2.686250e+00 1.028936e+00
2.703750e+00 1.030938e+00
2.721250e+00 1.033782e+00
2.738750e+00 1.033843e+00
2.756250e+00 1.032539e+00
2.773750e+00 1.035688e+00
2.791250e+00 1.033332e+00
2.808750e+00 1.035355e+00
2.826250e+00 1.028790e+00
2.843750e+00 1.031116e+00
2.861250e+00 1.027610e+00
2.878750e+00 1.023246e+00
2.896250e+00 1.019670e+00
2.913750e+00 1.016931e+00
2.931250e+00 1.012334e+00
2.948750e+00 1.008439e+00
2.966250e+00 1.007376e+00
2.983750e+00 1.003630e+00
3.001250e+00 1.000768e+00
3.018750e+00 9.953465e-01
3.036250e+00 9.938751e-01
3.053750e+00 9.910921e-01
3.071250e+00 9.892021e-01
3.088750e+00 9.850212e-01
3.106250e+00 9.830621e-01
3.123750e+00 9.830830e-01
3.141250e+00 9.820559e-01
3.158750e+00 9.823151e-01
3.176250e+00 9.826970e-01
3.193750e+00 9.841008e-01
3.211250e+00 9.804449e-01
3.228750e+00 9.830142e-01
3.246250e+00 9.824520e-01
3.263750e+00 9.848268e-01
3.281250e+00 9.868706e-01
3.298750e+00 9.865633e-01
3.316250e+00 9.885856e-01
3.333750e+00 9.916098e-01
3.351250e+00 9.921753e-01
3.368750e+00 9.922404e-01
3.386250e+00 9.957137e-01
3.403750e+00 9.954435e-01
3.421250e+00 9.978848e-01
3.438750e+00 9.998818e-01
3.456250e+00 1.003439e+00
3.473750e+00 1.001349e+00
3.491250e+00 1.006746e+00
