# r          g(r)
2.161250e+00 7.145770e-01
2.178750e+00 7.328662e-01
2.196250e+00 8.179066e-01
2.213750e+00 8.767543e-01
2.231250e+00 9.326301e-01
2.248750e+00 9.924785e-01
2.266250e+00 1.057128e+00
2.283750e+00 1.111442e+00
2.301250e+00 1.175297e+00
2.318750e+00 1.213015e+00
2.336250e+00 1.269748e+00
2.353750e+00 1.263297e+00
2.371250e+00 1.293746e+00
2.388750e+00 1.320438e+00
2.406250e+00 1.299304e+00
2.423750e+00 1.310154e+00
2.441250e+00 1.289518e+00
2.458750e+00 1.270696e+00
2.476250e+00 1.230838e+00
2.493750e+00 1.245250e+00
2.511250e+00 1.208444e+00
2.528750e+00 1.156554e+00
2.546250e+00 1.151573e+00
2.563750e+00 1.108049e+00
2.581250e+00 1.077121e+00
2.598750e+00 1.084006e+00
2.616250e+00 1.022814e+00
2.633750e+00 1.041285e+00
2.651250e+00 1.010800e+00
2.668750e+00 1.015483e+00
2.686250e+00 1.019511e+00
2.703750e+00 1.027072e+00
2.721250e+00 1.033541e+00
2.738750e+00 1.012367e+00
2.756250e+00 1.059680e+00
2.773750e+00 1.012024e+00
2.791250e+00 9.992321e-01
2.808750e+00 9.746708e-01
2.826250e+00 9.344516e-01
2.843750e+00 9.102226e-01
2.861250e+00 8.731467e-01
2.878750e+00 8.466859e-01
2.896250e+00 8.149113e-01
2.913750e+00 8.065110e-01
2.931250e+00 8.035200e-01
2.948750e+00 7.808235e-01
2.966250e+00 7.863529e-01
2.983750e+00 8.091878e-01
3.001250e+00 8.096043e-01
3.018750e+00 8.545332e-01
3.036250e+00 8.689059e-01
3.053750e+00 8.785115e-01
3.071250e+00 9.222060e-01
3.088750e+00 9.449857e-01
3.106250e+00 9.432189e-01
3.123750e+00 9.688142e-01
3.141250e+00 9.890804e-01
3.158750e+00 1.008129e+00
3.176250e+00 1.023655e+00
3.193750e+00 1.037214e+00
3.211250e+00 1.058215e+00
3.228750e+00 1.091203e+00
3.246250e+00 1.087442e+00
3.263750e+00 1.081967e+00
3.281250e+00 1.089020e+00
3.298750e+00 1.099051e+00
3.316250e+00 1.100139e+00
3.333750e+00 1.118633e+00
3.351250e+00 1.110341e+00
3.368750e+00 1.088657e+00
3.386250e+00 1.121489e+00
3.403750e+00 1.111987e+00
3.421250e+00 1.107017e+00
3.438750e+00 1.079497e+00
3.456250e+00 1.083041e+00
3.473750e+00 1.068568e+00
3.491250e+00 1.049866e+00
