# r          g(r)
2.161250e+00 6.683949e-01
2.178750e+00 6.625108e-01
2.196250e+00 6.638829e-01
2.213750e+00 6.670660e-01
2.231250e+00 6.732801e-01
2.248750e+00 6.930593e-01
2.266250e+00 7.122821e-01
2.283750e+00 7.390013e-01
2.301250e+00 7.661290e-01
2.318750e+00 7.920365e-01
2.336250e+00 8.261362e-01
2.353750e+00 8.558728e-01
2.371250e+00 8.934222e-01
2.388750e+00 9.258286e-01
2.406250e+00 9.636756e-01
2.423750e+00 1.001979e+00
2.441250e+00 1.039111e+00
2.458750e+00 1.066263e+00
2.476250e+00 1.097673e+00
2.493750e+00 1.124829e+00
2.511250e+00 1.150711e+00
2.528750e+00 1.161150e+00
2.546250e+00 1.179968e+00
2.563750e+00 1.186926e+00
2.581250e+00 1.191350e+00
2.598750e+00 1.189036e+00
2.616250e+00 1.183619e+00
2.633750e+00 1.178671e+00
2.651250e+00 1.165499e+00
2.668750e+00 1.153609e+00
2.686250e+00 1.140377e+00
2.703750e+00 1.121649e+00
2.721250e+00 1.104533e+00
2.738750e+00 1.089012e+00
2.756250e+00 1.073269e+00
2.773750e+00 1.055108e+00
2.791250e+00 1.040373e+00
2.808750e+00 1.029026e+00
2.826250e+00 1.018628e+00
2.843750e+00 1.010078e+00
2.861250e+00 1.002776e+00
2.878750e+00 9.981437e-01
2.896250e+00 9.967107e-01
2.913750e+00 9.864595e-01
2.931250e+00 9.790270e-01
2.948750e+00 9.754653e-01
2.966250e+00 9.663420e-01
2.983750e+00 9.507520e-01
3.001250e+00 9.388304e-01
3.018750e+00 9.230480e-01
3.036250e+00 9.135951e-01
3.053750e+00 8.997502e-01
3.071250e+00 8.891190e-01
3.088750e+00 8.827218e-01
3.106250e+00 8.788002e-01
3.123750e+00 8.766476e-01
3.141250e+00 8.750933e-01
3.158750e+00 8.803039e-01
3.176250e+00 8.884323e-01
3.193750e+00 8.954400e-01
3.211250e+00 9.105910e-01
3.228750e+00 9.253656e-01
3.246250e+00 9.403681e-01
3.263750e+00 9.548099e-01
3.281250e+00 9.715776e-01
3.298750e+00 9.911917e-01
3.316250e+00 1.003591e+00
3.333750e+00 1.018557e+00
3.351250e+00 1.031790e+00
3.368750e+00 1.046237e+00
3.386250e+00 1.057578e+00
3.403750e+00 1.065891e+00
3.421250e+00 1.075857e+00
3.438750e+00 1.081637e+00
3.456250e+00 1.084748e+00
3.473750e+00 1.090317e+00
3.491250e+00 1.087380e+00
